route,run_id,welfare_gain_percent,welfare_ci99_low,welfare_ci99_high,accuracy_change_percent,accuracy_ci99_low,accuracy_ci99_high,verdict
numeric_codes_three_preprocessing_sensitivities,ec25262f-8c13-4376-ab19-5920ccc2a367,19.52396117539906,18.364635487957433,20.683286862840685,-20.485119861762154,-22.0747129156778,-18.895526807846508,BLOCKED
paper_mapped_14_group_preprocessing,6f3dda99-13b6-4442-8bc5-3608031aca75,19.910793814600915,18.707191559061673,21.114396070140156,-20.61655476696979,-21.655171779953307,-19.577937753986276,BLOCKED
nested_regularization_selection,1408cd20-8047-4343-8c03-95af617fb485,19.653684010612427,18.383989099391556,20.923378921833297,-20.845210792249144,-22.576782150342634,-19.113639434155655,BLOCKED
