k,m,noise,payer_count,payer_fraction,revenue,revenue_per_user,seed
31,500,True,34,0.068,9.387862495834547,0.018775724991669095,0
31,500,True,28,0.056,7.582086787496282,0.015164173574992564,1
31,500,True,41,0.082,13.80174694431819,0.02760349388863638,2
31,500,True,27,0.054,8.310977169446005,0.01662195433889201,3
31,500,True,31,0.062,10.359190695346598,0.020718381390693198,4
31,500,True,33,0.066,10.924901454912264,0.02184980290982453,5
31,500,True,30,0.06,10.863065119244684,0.021726130238489367,6
31,500,True,30,0.06,9.463083319193112,0.018926166638386224,7
31,500,True,39,0.078,10.263137879474957,0.020526275758949913,8
31,500,True,27,0.054,6.936994019617611,0.013873988039235221,9
31,500,True,34,0.068,10.07490118972701,0.020149802379454018,10
31,500,True,25,0.05,7.220881233857668,0.014441762467715336,11
31,500,True,26,0.052,9.037339329771008,0.018074678659542015,12
31,500,True,37,0.074,12.056307151065496,0.02411261430213099,13
31,500,True,21,0.042,5.656632159549409,0.011313264319098819,14
31,500,True,43,0.086,18.032484618389574,0.03606496923677915,15
31,500,True,34,0.068,10.079458084188602,0.020158916168377203,16
31,500,True,28,0.056,10.17399277252337,0.02034798554504674,17
31,500,True,38,0.076,13.078772672856424,0.026157545345712848,18
31,500,True,36,0.072,9.624780116377753,0.019249560232755505,19
31,1000,True,53,0.053,18.32729737638781,0.018327297376387813,0
31,1000,True,56,0.056,18.670198421655755,0.018670198421655754,1
31,1000,True,50,0.05,18.62997370013998,0.018629973700139982,2
31,1000,True,64,0.064,20.561915949830343,0.020561915949830343,3
31,1000,True,77,0.077,24.9703313850355,0.024970331385035502,4
31,1000,True,63,0.063,21.07405339027953,0.02107405339027953,5
31,1000,True,68,0.068,27.146360322071107,0.027146360322071107,6
31,1000,True,60,0.06,17.99505152508483,0.017995051525084828,7
31,1000,True,74,0.074,23.98899009714121,0.023988990097141207,8
31,1000,True,62,0.062,21.05656296862002,0.021056562968620022,9
31,1000,True,68,0.068,24.648028064785805,0.024648028064785804,10
31,1000,True,58,0.058,19.295935564924775,0.019295935564924774,11
31,1000,True,66,0.066,23.80447805165121,0.023804478051651208,12
31,1000,True,69,0.069,21.705398419757984,0.021705398419757983,13
31,1000,True,65,0.065,25.146328423701796,0.025146328423701795,14
31,1000,True,40,0.04,13.354759723362012,0.013354759723362012,15
31,1000,True,66,0.066,23.324580539532754,0.023324580539532753,16
31,1000,True,60,0.06,18.586627173027928,0.018586627173027927,17
31,1000,True,68,0.068,20.09341864899002,0.02009341864899002,18
31,1000,True,67,0.067,18.814012613560838,0.01881401261356084,19
31,2000,True,103,0.0515,34.665140298380166,0.017332570149190082,0
31,2000,True,98,0.049,28.32282773413741,0.014161413867068704,1
31,2000,True,107,0.0535,37.50916093262187,0.018754580466310934,2
31,2000,True,121,0.0605,42.84861874603376,0.02142430937301688,3
31,2000,True,86,0.043,29.825576924380936,0.014912788462190468,4
31,2000,True,133,0.0665,45.61621054284139,0.022808105271420694,5
31,2000,True,127,0.0635,40.472263274839506,0.020236131637419753,6
31,2000,True,129,0.0645,38.67704645806228,0.019338523229031138,7
31,2000,True,129,0.0645,45.05577839837015,0.022527889199185077,8
31,2000,True,135,0.0675,42.827430535359476,0.02141371526767974,9
31,2000,True,130,0.065,40.91706226205934,0.02045853113102967,10
31,2000,True,134,0.067,48.05621408312891,0.024028107041564453,11
31,2000,True,115,0.0575,38.1165211338769,0.01905826056693845,12
31,2000,True,106,0.053,36.8770054834346,0.0184385027417173,13
31,2000,True,125,0.0625,36.306756409617606,0.018153378204808803,14
31,2000,True,117,0.0585,35.50941043165779,0.017754705215828896,15
31,2000,True,131,0.0655,46.659002842620694,0.023329501421310347,16
31,2000,True,125,0.0625,40.92202904075608,0.02046101452037804,17
31,2000,True,114,0.057,35.92659719595956,0.01796329859797978,18
31,2000,True,132,0.066,43.93020891871596,0.02196510445935798,19
31,4000,True,226,0.0565,80.50167864980614,0.020125419662451533,0
31,4000,True,251,0.06275,87.13898655944521,0.021784746639861303,1
31,4000,True,259,0.06475,83.98367084294654,0.020995917710736636,2
31,4000,True,231,0.05775,77.05234637854693,0.01926308659463673,3
31,4000,True,271,0.06775,85.31004303968335,0.02132751075992084,4
31,4000,True,269,0.06725,92.18090304920074,0.023045225762300184,5
31,4000,True,245,0.06125,84.56975511598876,0.02114243877899719,6
31,4000,True,248,0.062,85.77119554353979,0.021442798885884948,7
31,4000,True,251,0.06275,83.2311087176944,0.0208077771794236,8
31,4000,True,239,0.05975,81.48688726999612,0.02037172181749903,9
31,4000,True,272,0.068,96.53937736298266,0.024134844340745667,10
31,4000,True,248,0.062,83.53400854905415,0.02088350213726354,11
31,4000,True,245,0.06125,81.71371771942184,0.020428429429855458,12
31,4000,True,234,0.0585,81.82458158935745,0.02045614539733936,13
31,4000,True,254,0.0635,83.98246002082763,0.020995615005206907,14
31,4000,True,274,0.0685,90.37342308229637,0.022593355770574093,15
31,4000,True,274,0.0685,91.36383938631297,0.022840959846578242,16
31,4000,True,237,0.05925,82.94456283372416,0.02073614070843104,17
31,4000,True,244,0.061,79.32300889237163,0.01983075222309291,18
31,4000,True,252,0.063,83.14547159425572,0.02078636789856393,19
31,8000,True,451,0.056375,159.74809487944276,0.019968511859930343,0
31,8000,True,530,0.06625,176.4919382061796,0.022061492275772452,1
31,8000,True,501,0.062625,169.90589951436482,0.021238237439295603,2
31,8000,True,460,0.0575,143.77243354237964,0.017971554192797456,3
31,8000,True,512,0.064,166.66697189578173,0.020833371486972715,4
31,8000,True,500,0.0625,180.7569756753973,0.022594621959424663,5
31,8000,True,486,0.06075,158.90902627279553,0.01986362828409944,6
31,8000,True,537,0.067125,185.62294570815945,0.023202868213519932,7
31,8000,True,512,0.064,168.84519182353034,0.02110564897794129,8
31,8000,True,504,0.063,171.23766550374,0.0214047081879675,9
31,8000,True,518,0.06475,173.71814798442333,0.021714768498052917,10
31,8000,True,494,0.06175,153.0647365494011,0.019133092068675136,11
31,8000,True,532,0.0665,176.3064953039692,0.02203831191299615,12
31,8000,True,514,0.06425,169.91824511021593,0.021239780638776993,13
31,8000,True,481,0.060125,159.54542120981176,0.01994317765122647,14
31,8000,True,506,0.06325,170.23702320291477,0.021279627900364348,15
31,8000,True,469,0.058625,168.1505298991633,0.02101881623739541,16
31,8000,True,436,0.0545,153.81468473871124,0.019226835592338905,17
31,8000,True,477,0.059625,147.20745162736085,0.018400931453420106,18
31,8000,True,506,0.06325,161.3040364606368,0.020163004557579602,19
31,16000,True,1007,0.0629375,327.06648119069126,0.020441655074418204,0
31,16000,True,1052,0.06575,342.8490699157646,0.021428066869735286,1
31,16000,True,1061,0.0663125,361.5385960405597,0.022596162252534982,2
31,16000,True,1055,0.0659375,360.98590537743394,0.02256161908608962,3
31,16000,True,1071,0.0669375,356.02809720307766,0.022251756075192353,4
31,16000,True,1019,0.0636875,325.4801367545888,0.0203425085471618,5
31,16000,True,993,0.0620625,313.76397177381585,0.019610248235863492,6
31,16000,True,1028,0.06425,340.9252740112322,0.02130782962570201,7
31,16000,True,975,0.0609375,320.716208011386,0.020044763000711625,8
31,16000,True,976,0.061,324.0355460231866,0.020252221626449164,9
31,16000,True,976,0.061,327.53048020893436,0.0204706550130584,10
31,16000,True,1014,0.063375,344.1950851830956,0.021512192823943475,11
31,16000,True,979,0.0611875,332.0438987649727,0.020752743672810794,12
31,16000,True,981,0.0613125,318.3237178754223,0.019895232367213894,13
31,16000,True,967,0.0604375,312.16648981408,0.01951040561338,14
31,16000,True,971,0.0606875,319.20265607357214,0.019950166004598258,15
31,16000,True,968,0.0605,317.45933783489795,0.01984120861468112,16
31,16000,True,918,0.057375,285.75093628102167,0.017859433517563854,17
31,16000,True,1030,0.064375,347.34918253283837,0.021709323908302398,18
31,16000,True,1022,0.063875,325.67472436956257,0.02035467027309766,19
31,32000,True,2007,0.06271875,662.1797517347306,0.020693117241710333,0
31,32000,True,2091,0.06534375,679.8825181536295,0.02124632869230092,1
31,32000,True,2082,0.0650625,698.0147500092936,0.021812960937790424,2
31,32000,True,1994,0.0623125,655.3327462600266,0.02047914832062583,3
31,32000,True,2043,0.06384375,680.5999147958998,0.02126874733737187,4
31,32000,True,2040,0.06375,665.0135947113762,0.020781674834730507,5
31,32000,True,2041,0.06378125,674.8894525264459,0.021090295391451436,6
31,32000,True,2064,0.0645,660.1525898241334,0.02062976843200417,7
31,32000,True,1931,0.06034375,634.869282803696,0.0198396650876155,8
31,32000,True,2043,0.06384375,694.8831800526024,0.021715099376643825,9
31,32000,True,2052,0.064125,664.0808946293034,0.020752527957165732,10
31,32000,True,2052,0.064125,699.4738760521282,0.021858558626629006,11
31,32000,True,1997,0.06240625,673.0004024159632,0.021031262575498852,12
31,32000,True,2024,0.06325,654.8760651468017,0.020464877035837555,13
31,32000,True,2026,0.0633125,661.449867798836,0.020670308368713624,14
31,32000,True,1981,0.06190625,630.6971111283706,0.01970928472276158,15
31,32000,True,2005,0.06265625,665.9929813671235,0.020812280667722612,16
31,32000,True,1949,0.06090625,635.0017088083492,0.019843803400260915,17
31,32000,True,1914,0.0598125,644.2184517428358,0.020131826616963618,18
31,32000,True,2041,0.06378125,667.2200273903366,0.02085062585594802,19
63,500,True,14,0.028,3.8379044654697596,0.007675808930939519,0
63,500,True,13,0.026,3.5790438457834854,0.007158087691566971,1
63,500,True,22,0.044,7.92483069253192,0.01584966138506384,2
63,500,True,24,0.048,7.377576457520744,0.01475515291504149,3
63,500,True,23,0.046,8.291229393818016,0.01658245878763603,4
63,500,True,17,0.034,7.283987560396622,0.014567975120793244,5
63,500,True,28,0.056,9.25118631390881,0.01850237262781762,6
63,500,True,21,0.042,6.935769222848034,0.013871538445696068,7
63,500,True,16,0.032,5.576223846461451,0.011152447692922902,8
63,500,True,20,0.04,7.92344665119537,0.015846893302390738,9
63,500,True,28,0.056,9.59710942202792,0.019194218844055838,10
63,500,True,27,0.054,8.815370360622765,0.01763074072124553,11
63,500,True,23,0.046,7.548491329496263,0.015096982658992526,12
63,500,True,18,0.036,5.403528336609798,0.010807056673219597,13
63,500,True,18,0.036,7.7503147989625765,0.015500629597925152,14
63,500,True,11,0.022,5.329747910785358,0.010659495821570716,15
63,500,True,24,0.048,6.324308262690316,0.012648616525380633,16
63,500,True,31,0.062,10.572762492625127,0.021145524985250255,17
63,500,True,16,0.032,4.126166410236442,0.008252332820472883,18
